"2018-01-04","5460","5600","5460","5570","890","5570"
"2018-01-05","5570","5800","5570","5800","1880","5800"
"2018-01-09","5850","5970","5850","5970","1860","5970"
"2018-01-10","6010","6050","5880","5920","1450","5920"
"2018-01-11","6020","6100","5960","5960","400","5960"
"2018-01-12","6060","6090","6010","6020","540","6020"
"2018-01-15","6080","6170","6060","6170","1000","6170"
"2018-01-16","6170","6180","6100","6180","880","6180"
"2018-01-17","6180","6280","6090","6180","1490","6180"
"2018-01-18","6190","6340","6190","6240","670","6240"
"2018-01-19","6290","6320","6170","6270","760","6270"
"2018-01-22","6270","6340","6230","6310","220","6310"
"2018-01-23","6350","6400","6350","6390","1790","6390"
"2018-01-24","6390","6440","6390","6400","1030","6400"
"2018-01-25","6450","6450","6360","6430","1340","6430"
"2018-01-26","6440","6500","6440","6490","1860","6490"
"2018-01-29","6540","6560","6450","6450","3050","6450"
"2018-01-30","6440","6440","6210","6300","2110","6300"
"2018-01-31","6200","6290","6100","6170","1040","6170"
"2018-02-01","6170","6350","6160","6210","190","6210"
"2018-02-02","6210","6220","6150","6220","370","6220"
"2018-02-05","6020","6220","5900","6220","1540","6220"
"2018-02-06","5920","6240","5880","5950","2650","5950"
"2018-02-07","5970","6250","5970","6240","960","6240"
"2018-02-08","6230","6230","6120","6120","30","6120"
"2018-02-09","5720","6020","5720","5860","570","5860"
"2018-02-13","5760","5840","5760","5780","930","5780"
"2018-02-14","5780","5780","5590","5680","310","5680"
"2018-02-15","5780","5980","5780","5970","130","5970"
"2018-02-16","5960","5960","5700","5810","380","5810"
"2018-02-19","5810","5810","5720","5760","380","5760"
"2018-02-20","5760","5880","5740","5870","280","5870"
"2018-02-21","5870","5990","5870","5990","70","5990"
"2018-02-22","5900","5990","5890","5990","60","5990"
"2018-02-23","5990","5990","5990","5990","350","5990"
"2018-02-26","5990","6100","5990","6100","250","6100"
"2018-02-27","6090","6090","5990","5990","580","5990"
"2018-02-28","6000","6190","6000","6020","300","6020"
"2018-03-01","6010","6010","5980","6000","100","6000"
"2018-03-02","5900","5940","5800","5940","490","5940"
"2018-03-05","5800","5800","5800","5800","120","5800"
"2018-03-06","5790","5920","5790","5920","20","5920"
"2018-03-07","5850","5860","5850","5860","270","5860"
"2018-03-08","5880","5880","5860","5860","30","5860"
"2018-03-09","5900","5990","5900","5990","100","5990"
"2018-03-12","6000","6020","5920","6020","60","6020"
"2018-03-13","5970","5970","5960","5960","20","5960"
"2018-03-14","6020","6020","5910","5910","110","5910"
"2018-03-15","5850","5850","5850","5850","10","5850"
"2018-03-16","5910","5910","5910","5910","10","5910"
"2018-03-19","5910","5910","5910","5910","50","5910"
"2018-03-20","5910","5910","5850","5860","360","5860"
"2018-03-22","5850","5860","5840","5860","200","5860"
"2018-03-23","5820","5840","5740","5770","2140","5770"
"2018-03-26","5600","5720","5600","5700","700","5700"
"2018-03-27","5850","5860","5810","5820","80","5820"
"2018-03-28","6000","6000","5720","5730","210","5730"
"2018-03-29","5640","5730","5640","5660","40","5660"
"2018-03-30","5940","5940","5940","5940","50","5940"
